symbol,et,o,h,l,c,v,vwap,avwap
AAPL,2025-08-30 09:30:00-04:00,192.0,192.3,191.8,192.1,120000.0,192.1,192.1
AAPL,2025-08-30 09:31:00-04:00,192.1,192.4,191.9,192.0,80000.0,192.06,192.06
AAPL,2025-08-30 09:32:00-04:00,192.0,192.1,191.7,191.8,95000.0,191.97627118644067,191.97627118644067
AAPL,2025-08-30 09:33:00-04:00,191.8,192.0,191.6,191.9,70000.0,191.96164383561643,191.96164383561643
AAPL,2025-08-30 09:34:00-04:00,191.9,192.2,191.8,192.0,85000.0,191.9688888888889,191.9688888888889
AMD,2025-08-30 09:30:00-04:00,125.0,125.5,124.8,125.2,140000.0,125.2,125.2
AMD,2025-08-30 09:31:00-04:00,125.2,125.3,124.9,125.1,120000.0,125.15384615384616,125.15384615384616
AMD,2025-08-30 09:32:00-04:00,125.1,125.2,124.7,124.8,110000.0,125.04864864864865,125.04864864864865
AMD,2025-08-30 09:33:00-04:00,124.8,125.0,124.5,124.7,100000.0,124.97446808510638,124.97446808510638
AMD,2025-08-30 09:34:00-04:00,124.7,124.9,124.6,124.8,105000.0,124.94260869565217,124.94260869565217
NVDA,2025-08-30 09:30:00-04:00,490.0,491.0,489.5,490.5,180000.0,490.5,490.5
NVDA,2025-08-30 09:31:00-04:00,490.5,490.8,489.9,490.0,150000.0,490.27272727272725,490.27272727272725
NVDA,2025-08-30 09:32:00-04:00,490.0,490.4,489.6,489.8,140000.0,490.131914893617,490.131914893617
NVDA,2025-08-30 09:33:00-04:00,489.8,490.1,489.3,489.6,130000.0,490.01666666666665,490.01666666666665
NVDA,2025-08-30 09:34:00-04:00,489.6,490.0,489.4,489.9,135000.0,489.9952380952381,489.9952380952381
TSLA,2025-08-30 09:30:00-04:00,230.0,231.5,229.5,231.0,150000.0,231.0,231.0
TSLA,2025-08-30 09:31:00-04:00,231.0,231.2,230.4,230.8,110000.0,230.91538461538462,230.91538461538462
TSLA,2025-08-30 09:32:00-04:00,230.8,231.0,230.0,230.2,100000.0,230.71666666666667,230.71666666666667
TSLA,2025-08-30 09:33:00-04:00,230.2,230.6,229.8,230.0,90000.0,230.57333333333332,230.57333333333332
TSLA,2025-08-30 09:34:00-04:00,230.0,230.4,229.9,230.3,95000.0,230.5256880733945,230.5256880733945
